proyecto_id;titulo;fecha_inicio;fecha_finalizacion;monto_financiado_solicitado;monto_financiado_adjudicado;cantidad_miembros_F;cantidad_miembros_M;cantidad_miembros_S/D;area;subarea;tipo_proyecto
13343;Aproximación de Funciones;2/3/15;31/12/17;2740000;2740000;7;5;0;CIENCIAS NATURALES Y EXACTAS;Otras Ciencias Naturales y Exactas;Ciencia
13344;Interacciones magnéticas en sistemas topológicos y transporte cuántico;2/3/15;31/12/17;1500000;1500000;3;3;0;CIENCIAS NATURALES Y EXACTAS;Otras Ciencias Naturales y Exactas;Ciencia
13345;SUSTANCIAS QUE CONDICIONAN EL AMBIENTE ACUATICO PARA LA PESCA ARTESANAL Y LA MARICULTURA: IDENTIFICACIÓN DE POTENCIALES AGENTES NOCIVOS Y EVALUACIÓN DE METODOLOGÍAS PARA SU DEGRADACIÓN;1/1/15;31/12/16;5500000;5500000;12;5;0;CIENCIAS NATURALES Y EXACTAS;Otras Ciencias Naturales y Exactas;Ciencia
13362;Rol del factor de transcripción p63 y de la enzima oxido nítrico sintasa inducible (iNOS) durante la progresión de tumores de mama y de vejiga de tipo basal. Análisis de la modulación del estroma tumoral por inhibidores de iNOS.;2/3/15;31/12/17;1499750;1499750;6;2;0;CIENCIAS MÉDICAS Y DE LA SALUD;Otras Ciencias Médicas;Ciencia
13363;PAPEL DIFERENCIAL DE LAS ISOFORMAS DEL RECEPTOR DE PROGESTERONA EN EL DESARROLLO PRENEOPLASICO DE LA GLANDULA MAMARIA EN EL CONTEXTO DE LAS CELULAS CON CARACTERISTICAS STEM;2/3/15;31/12/17;1500000;1500000;4;0;0;CIENCIAS MÉDICAS Y DE LA SALUD;Otras Ciencias Médicas;Ciencia
13365;Carcinogénesis de la mucosa bucal: rol de KLF4 y su posible relación con la vía de señalización celular de TGF-beta;2/3/15;31/12/17;1500000;1500000;4;0;0;CIENCIAS MÉDICAS Y DE LA SALUD;Otras Ciencias Médicas;Ciencia
13366;Antígenos de Fasciola hepatica en la inducción de respuestas inmunes protectivas o inmunomoduladoras;2/3/15;31/12/17;3000000;3000000;8;1;0;CIENCIAS MÉDICAS Y DE LA SALUD;Otras Ciencias Médicas;Ciencia
13367;EFECTO DE DIFERENTES ISOFORMAS DE LA PROTEÍNA QUINASA C (PKC) EN LA MODULACIÓN DEL FENOTIPO TRANSFORMADO DE CÉLULAS MAMARIAS. EVALUACIÓN DE LA ALTERACIÓN EN LA SENSIBILIDAD A RETINOIDES;2/3/15;31/12/17;1500000;1500000;3;2;0;CIENCIAS MÉDICAS Y DE LA SALUD;Otras Ciencias Médicas;Ciencia
13368;REGULACIÓN DE LAS MAP QUINASA FOSFATASAS (MKPs) A MÚLTIPLES NIVELES Y SU IMPACTO EN LA RESPUESTA CELULAR A ESTÍMULOS MITOGÉNICOS Y ESTRESORES;2/3/15;31/12/17;3000000;3000000;5;3;0;CIENCIAS MÉDICAS Y DE LA SALUD;Otras Ciencias Médicas;Ciencia
13369;EL DESARROLLO DE IMPLANTES ENDOMETRIÓSICOS ES PROMOVIDO POR LA ACCIÓN DEL MICROAMBIENTE INFLAMATORIO MODIFICADO POR LA DEFICIENCIA DE TNFRp55.;2/3/15;31/12/17;1500000;1500000;4;0;0;CIENCIAS MÉDICAS Y DE LA SALUD;Otras Ciencias Médicas;Ciencia
13370;Relaciones funcionales novedosas entre indicadores tomográficos, densitométricos y dinamométricos óseos y musculares humanos, con correlato biomecánico y aplicaciones diagnósticas;2/3/15;31/12/17;3000000;3000000;1;3;0;CIENCIAS MÉDICAS Y DE LA SALUD;Otras Ciencias Médicas;Ciencia
13371;Mecanismos de acción de las hormonas ováricas sobre la proliferación y diferenciación de células de endometrio: análisis genómico de la expresión génica inducida por hormonas.;2/3/15;31/12/17;3000000;3000000;3;2;0;CIENCIAS MÉDICAS Y DE LA SALUD;Otras Ciencias Médicas;Ciencia
13372;MONITOREO DE ENTEROPARÁSITOS Y FACTORES DE RIESGO ASOCIADOS A TRAVÉS DE UN ENFOQUE UNA SALUD EN LA REGIÓN DE TRIPLE FRONTERA DEL NORESTE ARGENTINO: DETERMINANTES SOCIO-AMBIENTALES Y MODELOS GEO-ESPACIALES PARA SU VIGILANCIA Y CONTROL.;2/3/15;31/12/17;29993832;29993832;2;5;0;CIENCIAS MÉDICAS Y DE LA SALUD;Otras Ciencias Médicas;Ciencia
13373;La vascularización del trofoblasto como blanco de la inflamación durante la implantación embrionaria. Estudio del efecto protector de la decidua y los mediadores lipídicos.;2/3/15;31/12/17;3000000;3000000;5;1;0;CIENCIAS MÉDICAS Y DE LA SALUD;Otras Ciencias Médicas;Ciencia
13378;ENSAYOS ANALÍTICOS DE MUESTRAS DECOMISADAS DE PASTA BASE DE COCAÍNA (PACO). IMPACTO BIOLOGICO EN UN MODELO EXPERIMENTAL MURINO UTILIZANDO UN ENFOQUE MULTIDISCIPLINARIO;1/1/15;31/12/16;2689000;2689000;8;4;0;CIENCIAS MÉDICAS Y DE LA SALUD;Otras Ciencias Médicas;Ciencia
13379;Evaluación de potenciales biomarcadores en patologías infecciosas, neuroendócrinas, oncológicas y cognitivas de importancia en el Noroeste de la Provincia de Buenos Aires.;1/1/15;31/12/16;6000000;6000000;12;3;0;CIENCIAS MÉDICAS Y DE LA SALUD;Otras Ciencias Médicas;Ciencia
13384;EN NOMBRE DEL DERECHOCausas colectivas y  movilización legal en la Argentina contemporánea;2/3/15;31/12/17;1500;1500;2;3;0;CIENCIAS SOCIALES;Otras Ciencias Sociales;Ciencia
13385;Violencia y medios de comunicación. La construcción de las representaciones legítimas sobre la violencia en el campo futbolístico;2/3/15;31/12/17;1500000;1500000;4;11;0;CIENCIAS SOCIALES;Otras Ciencias Sociales;Ciencia
13387;La apropiación de la renta petrolera diferencial por distintos sujetos sociales en Argentina comparado con Venezuela y Brasil (2002 a la actualidad);1/1/15;31/12/16;3945840;3945840;2;3;0;HUMANIDADES;Otras Humanidades;Ciencia
13393;Moléculas involucradas en la homeostasis tisular y en la morfogénesis;2/3/15;31/12/17;1500000;1500000;8;4;0;CIENCIAS NATURALES Y EXACTAS;Ciencias Biológicas;Ciencia
13395;Impacto del Micromedioambiente Tumoral en Células Madres Tumorales.;2/3/15;31/12/17;4500000;4500000;5;5;0;CIENCIAS NATURALES Y EXACTAS;Ciencias Biológicas;Ciencia
13402;Los mamíferos del Mioceno tardío y Plioceno de Jujuy (Quebrada de Humahuaca) y Bolivia (Achiri y Pomata-Ayte): implicancias biogeográficas, evolutivas, y biocronológicas;2/3/15;31/12/17;1500000;1500000;2;4;0;CIENCIAS NATURALES Y EXACTAS;Ciencias de la Tierra y relacionadas con el Medio Ambiente;Ciencia
13408;Recomendación Personalizada a Grupos de Usuarios Basada en Sistemas Multi-agente;2/3/15;31/12/17;2950000;2950000;2;4;0;CIENCIAS NATURALES Y EXACTAS;Ciencias de la Computación e Información;Ciencia
13421;Factores condicionantes en la adherencia al tratamiento de enfermedades cronicas;2/3/15;31/12/17;1480000;1480000;4;2;0;CIENCIAS MÉDICAS Y DE LA SALUD;Medicina Básica;Ciencia
13430;Recuperación post-inundación de leguminosas forrajeras del género Lotus. Un enfoque ecofisiológico del uso de RILs y mutantes de Lotus japonicus como especie modelo.;2/3/15;31/12/17;1451340;1451340;3;2;0;CIENCIAS AGRÍCOLAS;Agricultura, Silvicultura y Pesca;Ciencia
13431;Resistencia a herbicidas en malezas conferida por mutaciones de punto: estimación de la aptitud ecológica a través del esfuerzo reproductivo bajo selección por herbicidas y germinación en ambientes térmicos y lumínicos contrastantes;2/3/15;31/12/17;1500000;1500000;1;2;0;CIENCIAS AGRÍCOLAS;Agricultura, Silvicultura y Pesca;Ciencia
13437;MODULACIÓN DEL METABOLISMO RUMINAL DEL AZUFRE E HIDRÓGENO. UNA ALTERNATIVA PARA REDUCIR LA METANOGÉNESIS Y MEJORAR EL USO DE AGUAS DE BEBIDA CON ELEVADO CONTENIDO DE SULFATOS EN RUMIANTES;1/1/15;31/12/16;4900000;4900000;4;3;0;CIENCIAS AGRÍCOLAS;Ciencias Veterinarias;Ciencia
13438;Desarrollo de un kit diagnóstico para la detección simultánea de infecciones que afectan la producción del ganado bovino: Campilobacteriosis y Tricomoniosis.;1/1/15;31/12/16;7000000;7000000;4;5;0;CIENCIAS AGRÍCOLAS;Ciencias Veterinarias;Ciencia
13443;¿Renovación de las elites? Perfiles sociológicos, modos de interacción y posicionamientos públicos de las elites políticas, económicas y tecnocráticas durante los años kirchneristas (2003-2015).;2/3/15;31/12/17;5850000;4850000;12;8;0;CIENCIAS SOCIALES;Sociología;Ciencia
13501;Efecto Kondo y frustración magnética en materiales fuertemente correlacionados;2/3/15;31/12/17;7199900;7199900;2;8;0;CIENCIAS NATURALES Y EXACTAS;Ciencias Físicas;Ciencia
13502;Relación entre dinámica y estructura en materia blanda y activa;2/3/15;31/12/17;3000000;2500000;0;5;0;CIENCIAS NATURALES Y EXACTAS;Ciencias Físicas;Ciencia
13503;Modelización de nuevos materiales con electrones fuertemente interactuantes;2/3/15;31/12/17;3000000;3000000;3;2;0;CIENCIAS NATURALES Y EXACTAS;Ciencias Físicas;Ciencia
13504;Desarrollo de nuevas nanoestructuras y simetrías mediante films delgados de polímeros auto-organizativos.;2/3/15;31/12/17;4500000;4500000;3;5;0;CIENCIAS NATURALES Y EXACTAS;Ciencias Físicas;Ciencia
13543;Geometría y efectos no perturbativos en teoría cuántica de campos;2/3/15;31/12/17;8550000;8550000;1;12;0;CIENCIAS NATURALES Y EXACTAS;Ciencias Físicas;Ciencia
13544;Sistemas cuánticos complejos: equilibración, caos, decoherencia y control.;2/3/15;31/12/17;4500000;4400000;2;4;0;CIENCIAS NATURALES Y EXACTAS;Ciencias Físicas;Ciencia
13545;Compactificaciones, dualidades y fenomenología de cuerdas;2/3/15;31/12/17;4500000;3500000;1;6;0;CIENCIAS NATURALES Y EXACTAS;Ciencias Físicas;Ciencia
13546;Fisica de campos y cuerdas. Aplicaciones a mecanica estadistica;2/3/15;31/12/17;4060000;4060000;3;9;0;CIENCIAS NATURALES Y EXACTAS;Ciencias Físicas;Ciencia
